Date,Open,Change %
2019-08-24,10389,-2.48
2019-08-23,10104,2.81
2019-08-22,10141,-0.36
2019-08-21,10753,-5.68
2019-08-20,10911,-1.45
2019-08-19,10312,5.8
2019-08-18,10219,0.93
2019-08-17,10335,-1.14
2019-08-16,10300,0.31
2019-08-15,10053,2.53
2019-08-14,10894,-7.74
2019-08-13,11395,-4.4
2019-08-12,11505,-1.07
2019-08-11,11314,1.79
2019-08-10,12090,-6.41
2019-08-09,12190,-0.84
2019-08-08,12015,1.48
2019-08-07,11481,4.64
2019-08-06,11817,-2.84
2019-08-05,10934,8.07
2019-08-04,10816,1.1
2019-08-03,10519,2.81
2019-08-02,10380,1.35
2019-08-01,10081,2.96
2019-07-31,9580,5.23
2019-07-30,9580,0.0
2019-07-29,9728,-1.51
2019-07-28,9491,2.48
2019-07-27,9830,-3.45
2019-07-26,9945,-1.15
2019-07-25,9804,1.44
2019-07-24,9887,-0.85
2019-07-23,10412,-5.03
2019-07-22,10715,-2.82
2019-07-21,10827,-1.04
2019-07-20,10571,2.41
2019-07-19,10651,-0.75
2019-07-18,9723,9.55
2019-07-17,9425,3.17
2019-07-16,10844,-13.1
2019-07-15,10199,6.33
2019-07-14,11364,-10.25
2019-07-13,11762,-3.38
2019-07-12,11343,3.7
2019-07-11,12111,-6.34
2019-07-10,12542,-3.44
2019-07-09,12250,2.36
2019-07-08,11415,7.33
2019-07-07,11267,1.31
2019-07-06,10969,2.71
2019-07-05,11159,-1.73
2019-07-04,11899,-6.2
2019-07-03,10835,9.83
2019-07-02,10615,2.07
2019-07-01,10821,-1.87
2019-06-30,11906,-9.14
2019-06-29,12408,-4.05
2019-06-28,11288,9.93
2019-06-27,13062,-13.59
2019-06-26,11811,10.62
2019-06-25,11046,6.91
2019-06-24,10897,1.37
2019-06-23,10721,1.64
2019-06-22,10178,5.33
2019-06-21,9517,6.96
2019-06-20,9255,2.83
2019-06-19,9080,1.93
2019-06-18,9318,-2.56
2019-06-17,8961,3.98
2019-06-16,8812,1.7
2019-06-15,8655,1.81
2019-06-14,8218,5.32
2019-06-13,8132,1.06
2019-06-12,7888,3.11
2019-06-11,7987,-1.25
2019-06-10,7635,4.62
2019-06-09,7901,-3.37
2019-06-08,7985,-1.05
2019-06-07,7785,2.57
2019-06-06,7779,0.08
2019-06-05,7685,1.22
2019-06-04,8118,-5.41
2019-06-03,8728,-6.92
2019-06-02,8545,2.14
2019-06-01,8556,-0.15
2019-05-31,8271,3.46
2019-05-30,8647,-4.35
2019-05-29,8715,-0.79
2019-05-28,8759,-0.5
2019-05-27,8628,1.51
2019-05-26,8029,7.51
2019-05-25,7971,0.72
2019-05-24,7852,1.5
2019-05-23,7637,2.83
2019-05-22,7928,-3.72
2019-05-21,7965,-0.44
2019-05-20,8156,-2.35
2019-05-19,7261,12.32
2019-05-18,7359,-1.32
2019-05-17,7871,-6.51
2019-05-16,8164,-3.59
2019-05-15,7994,2.13
2019-05-14,7806,2.42
2019-05-13,6984,11.76
2019-05-12,7190,-2.86
2019-05-11,6386,12.59
2019-05-10,6194,3.14
2019-05-09,5990,3.36
2019-05-08,5849,2.41
2019-05-07,5745,1.82
2019-05-06,5775,-0.52
2019-05-05,5830,-0.96
2019-05-04,5768,1.11
2019-05-03,5493,4.97
2019-05-02,5384,2.04
2019-05-01,5321,1.19
2019-04-30,5235,1.64
2019-04-29,5302,-1.27
2019-04-28,5265,0.69
2019-04-27,5298,-0.61
2019-04-26,5209,1.71
2019-04-25,5415,-3.81
2019-04-24,5511,-1.74
2019-04-23,5346,3.08
2019-04-22,5248,1.97
2019-04-21,5290,-0.88
2019-04-20,5241,0.94
2019-04-19,5264,-0.45
2019-04-18,5208,1.08
2019-04-17,5182,0.53
2019-04-16,5031,2.95
2019-04-15,5135,-2.0
2019-04-14,5052,1.64
2019-04-13,5054,-0.05
2019-04-12,5022,0.63
2019-04-11,5307,-5.37
2019-04-10,5158,2.89
2019-04-09,5245,-1.65
